国家名称,死亡人数,治愈人数,现存确诊,累计确诊
美国,221083,3295148,4758835,8275066
西班牙,34210,150376,803736,988322
印度,115914,6733328,801865,7651107
法国,33885,106839,790021,930745
英国,43967,539,718036,762542
巴西,154888,4721593,398336,5274817
俄罗斯,24952,1085608,336775,1447335
荷兰,6814,11886,225691,244391
比利时,10443,19239,200798,230480
阿根廷,27100,803965,187921,1018986
乌克兰,5927,126489,183410,315826
墨西哥,86893,623494,150327,860714
意大利,36705,252959,144785,434449
捷克,1619,72134,120193,193946
波兰,3851,94014,104714,202579
危地马拉,3546,3123,95550,102219
瑞典,5922,4971,95487,106380
哥斯达黎加,1222,1280,95420,97922
洪都拉斯,2582,1767,85883,90232
委内瑞拉,741,1649,84771,87161
孟加拉国,5699,305599,80288,391586
伊朗,31034,431360,77276,539670
德国,9955,294800,76143,380898
印度尼西亚,12857,289243,71009,373109
埃塞俄比亚,1371,20776,68343,90490
哥伦比亚,29272,876731,68136,974139
罗马尼亚,6065,122714,62323,191102
伊拉克,10366,363532,60700,434598
波多黎各,768,0,57182,57950
秘鲁,33875,784056,56187,874118
加拿大,9793,142334,51394,203521
利比亚,746,2025,48135,50906
南非,18656,639568,48080,706304
葡萄牙,2213,53498,48025,103736
菲律宾,6747,310303,45193,362243
尼泊尔,765,94501,43863,139129
巴拿马,2585,80190,42964,125739
以色列,2278,261128,42756,306162
巴拉圭,1231,12309,42533,56073
玻利维亚,8526,89032,42479,140037
多米尼加,2204,80820,38949,121973
突尼斯,711,5032,38707,44450
土耳其,9445,304003,37965,351413
缅甸,945,1188,36369,38502
匈牙利,1259,12628,36293,50180
黎巴嫩,531,28062,35743,64336
约旦,414,6912,33646,40972
科威特,714,84995,32009,117718
奥地利,925,37186,31298,69409
瑞士,1845,53400,30922,86167
摩洛哥,3027,146421,29555,179003
厄瓜多尔,12404,112296,29415,154115
巴林,305,50946,27282,78533
爱尔兰,1865,23349,27042,52256
萨尔瓦多,929,4268,26778,31975
摩尔多瓦,1617,40002,26339,67958
亚美尼亚,1101,39823,25770,66694
希腊,528,1473,24468,26469
斯洛伐克,98,7182,24120,31400
肯尼亚,842,21158,23647,45647
波黑,1017,12892,21480,35389
乌兹别克斯坦,534,42162,21314,64010
