,国家名称,确诊人数,治愈人数,死亡人数
0,美国,8266357,3272603,220902
1,西班牙,988322,150376,34210
2,法国,930745,106839,33885
3,印度,7597063,6733328,115236
4,英国,762542,539,43967
5,巴西,5274817,4721593,154888
6,俄罗斯,1431635,1085608,24635
7,荷兰,244391,11886,6814
8,比利时,230480,19239,10443
9,阿根廷,1018986,803965,27100
10,乌克兰,309107,126489,5786
11,墨西哥,854926,623494,86338
12,意大利,434449,252959,36705
13,捷克,193946,72134,1619
14,危地马拉,102219,3123,3546
15,瑞典,106380,4971,5922
16,波兰,192539,94014,3721
17,哥斯达黎加,97015,1280,1204
18,洪都拉斯,89381,1767,2576
19,委内瑞拉,87161,1649,741
20,孟加拉国,391586,305599,5699
21,伊朗,539670,431360,31034
22,德国,380898,294800,9955
23,埃塞俄比亚,90490,20776,1371
24,哥伦比亚,974139,876731,29272
25,印度尼西亚,368842,289243,12734
26,伊拉克,434598,363532,10366
27,罗马尼亚,186254,122714,5996
28,波多黎各,57950,0,768
29,秘鲁,874118,784056,33875
30,加拿大,203521,142334,9793
31,利比亚,50906,2025,746
32,南非,706304,639568,18656
33,葡萄牙,103736,53498,2213
34,尼泊尔,139129,94501,765
35,菲律宾,360775,310303,6690
36,以色列,306162,261128,2278
37,巴拉圭,56073,12309,1231
38,巴拿马,125181,80190,2574
39,玻利维亚,139890,89032,8502
40,多米尼加,121973,80820,2204
41,突尼斯,44450,5032,711
42,土耳其,351413,304003,9445
43,缅甸,38502,1188,945
44,黎巴嫩,64336,28062,531
45,匈牙利,48757,12628,1211
46,约旦,40972,6912,414
47,科威特,117718,84995,714
48,瑞士,86167,53400,1845
49,摩洛哥,179003,146421,3027
50,厄瓜多尔,154115,112296,12404
51,奥地利,67451,37186,919
52,巴林,78533,50946,305
53,爱尔兰,52256,23349,1865
54,萨尔瓦多,31975,4268,929
55,摩尔多瓦,67958,40002,1617
56,亚美尼亚,66694,39823,1101
57,希腊,26469,1473,528
58,斯洛伐克,31400,7182,98
59,肯尼亚,45647,21158,842
60,波黑,35389,12892,1017
61,乌兹别克斯坦,63831,42162,534
62,塞尔维亚,53747,31894,1437
63,阿尔及利亚,54829,32985,1873
64,日本,93480,71981,1676
65,格鲁吉亚,19857,911,158
66,库拉索岛,18762,0,408
67,尼日利亚,61558,42627,1125
68,智利,494478,463021,13703
69,阿曼,111033,92840,1122
70,巴基斯坦,324077,301288,6673
71,白俄罗斯,88909,72584,937
72,吉尔吉斯斯坦,52910,38459,1113
73,哈萨克斯坦,145473,130043,2178
74,阿富汗,40357,26415,1499
75,斯洛文尼亚,14477,2027,192
76,阿联酋,117594,104943,470
77,黑山,15892,3731,247
78,北马其顿,24196,12149,850
79,埃及,105705,88776,6142
80,阿塞拜疆,45879,34565,635
81,沙特阿拉伯,342968,327327,5217
82,科特迪瓦,20342,9880,121
83,法属圭亚那,10268,0,69
84,卢森堡,11241,1020,136
85,保加利亚,31863,20940,1019
86,乌干达,10788,908,97
87,马来西亚,22225,12259,193
88,卡塔尔,129944,120303,224
89,丹麦,36373,26741,688
90,莫桑比克,11190,2283,78
91,挪威,16772,8138,278
92,牙买加,8374,0,174
93,海地,8976,706,231
94,阿尔巴尼亚,17651,9585,458
95,巴勒斯坦,40766,32944,321
96,克罗地亚,26863,19087,382
97,安哥拉,8049,567,251
98,瓜德罗普岛,7122,0,111
99,芬兰,13849,6600,351
100,苏丹,13724,6612,836
101,立陶宛,7928,1733,118
102,新加坡,57921,51983,28
103,喀麦隆,21570,15320,430
104,塞内加尔,15459,9388,320
105,巴哈马,5823,0,124
106,马尔代夫,11271,5822,37
107,特立尼达和多巴哥,5333,0,98
108,博茨瓦纳,5242,0,21
109,尼加拉瓜,5353,0,154
110,留尼旺,4921,0,17
111,叙利亚,5180,41,254
112,韩国,25333,20248,447
113,法属波利尼西亚,4610,0,16
114,阿鲁巴,4355,0,34
115,纳米比亚,12367,7947,132
116,马达加斯加,16814,12424,238
117,马耳他,4871,675,46
118,赤道几内亚,5074,842,83
119,马约特,4159,0,43
120,赞比亚共和国,15982,11572,346
121,关岛,3886,0,67
122,斯里兰卡,5811,1981,13
123,古巴,6305,2460,127
124,圭亚那,3796,27,114
125,冈比亚,3655,2,118
126,苏里南,5133,1505,109
127,加纳,47372,43577,310
128,中非共和国,4858,1437,62
129,卢旺达,4996,1661,34
130,拉脱维亚,3609,464,47
131,安道尔,3623,472,66
132,几内亚,11538,8387,70
133,伯利兹,2833,0,45
134,佛得角,7901,5031,87
135,爱沙尼亚,4127,1275,69
136,斯威士兰,5788,2936,116
137,刚果（金）,11066,8048,303
138,马拉维,5861,2998,182
139,津巴布韦,8187,5345,233
140,加蓬,8884,6277,54
141,塔吉克斯坦,10574,7988,80
142,澳大利亚,27429,24057,905
143,塞浦路斯,2839,504,26
144,冰岛,4193,1888,11
145,索马里,3890,1499,101
146,马提尼克,2266,0,25
147,吉布提,5499,3324,61
148,多哥,2104,107,51
149,莱索托,1918,69,43
150,马里,3411,1502,132
151,乌拉圭,2623,951,52
152,南苏丹,2847,1190,55
153,几内亚比绍,2403,803,41
154,布基纳法索,2387,826,65
155,毛里塔尼亚,7621,6018,163
156,美属维尔京群岛,1335,0,21
157,乍得,1399,0,93
158,塞拉利昂,2336,999,73
159,刚果（布）,5156,3887,114
160,也门共和国,2060,350,599
161,利比里亚,1384,335,82
162,贝宁,2496,1600,41
163,越南,1141,267,35
164,圣马力诺,789,2,42
165,荷属圣马丁,756,0,22
166,圣多美和普林西比,933,219,15
167,特克斯和凯科斯群岛,698,0,6
168,直布罗陀,608,0,1
169,塞舌尔,616,0,21
170,巴布亚新几内亚,581,0,7
171,布隆迪共和国,550,4,1
172,圣马丁岛,531,0,8
173,泰国,3700,3135,59
174,科摩罗,502,0,7
175,法罗群岛,488,0,0
176,泽西岛,509,0,32
