,国内生产总值,第一产业增加值,第二产业增加值,第三产业增加值,农林牧渔业增加值,工业增加值,制造业增加值,建筑业增加值,批发和零售业增加值,交通运输、仓储和邮政业增加值,住宿和餐饮业增加值,金融业增加值,房地产业增加值,信息传输、软件和信息技术服务业增加值,租赁和商务服务业增加值,其他行业增加值
2016年第一季度,162410.0,8312.7,61106.8,92990.5,8665.5,53666.4,45784.0,7763.0,16847.5,7180.5,3181.6,15340.4,11283.0,5128.8,4985.3,28368.1
2016年第二季度,181408.2,12555.9,73416.5,95435.8,13045.5,60839.2,52378.3,12943.8,17679.8,8295.0,3112.3,14811.7,12209.7,5130.7,5075.1,28265.4
2016年第三季度,191010.6,17542.4,75400.5,98067.8,18162.2,61902.5,52468.3,13870.6,18513.0,8591.6,3473.2,14945.4,12615.3,4662.3,5452.4,28822.1
2016年第四季度,211566.2,21728.2,85504.1,104334.0,22577.8,68998.4,58878.4,16921.5,20684.1,8961.6,3840.7,14866.4,13861.4,5202.3,6015.8,29636.1
2017年第一季度,181867.7,8205.9,69315.5,104346.3,8595.8,60909.3,51419.7,8725.3,18608.9,8094.5,3536.5,16758.8,13047.0,5915.2,5811.9,31864.3
2017年第二季度,201950.3,12644.9,82323.0,106982.4,13204.2,68099.8,58172.1,14574.4,19473.6,9397.7,3440.9,15856.3,14059.0,5977.9,5868.4,31998.1
2017年第三季度,212789.3,18255.8,84574.1,109959.5,18944.2,69327.2,58632.6,15590.1,20342.9,9688.7,3838.5,16290.4,14054.9,5539.8,6464.6,32708.0
2017年第四季度,235428.7,22992.9,95368.0,117067.8,23915.8,76782.9,65652.1,19015.8,22731.1,9940.9,4240.1,15938.8,15925.1,6376.0,7128.4,33433.7
2018年第一季度,202035.7,8575.7,76598.2,116861.8,9005.8,66905.6,56631.9,10073.8,20485.5,8806.5,3887.8,18050.6,14863.5,7212.2,6879.5,35864.9
2018年第二季度,223962.2,13003.8,91100.6,119857.8,13662.2,75122.1,64294.9,16404.3,21374.2,10174.9,3779.6,17401.0,16176.1,7309.6,6885.3,35673.1
2018年第三季度,234474.3,18226.9,93112.5,123134.9,18961.8,76239.6,64348.2,17294.5,22334.1,10582.3,4212.6,17780.6,15914.0,6690.9,7533.3,36930.6
2018年第四季度,258808.9,24938.7,104023.9,129846.2,25929.0,82822.1,70662.1,21720.4,24710.0,10773.5,4640.6,17378.1,17669.5,7520.8,8170.4,37474.6
2019年第一季度,218062.8,8769.4,81806.5,127486.9,9249.4,71064.5,60357.1,11143.1,21959.2,9386.6,4234.9,19650.1,15979.2,8424.8,7665.1,39306.0
2019年第二季度,242573.8,14437.6,97315.6,130820.6,15108.7,79820.7,68041.8,17954.2,23097.0,10861.3,4123.0,19064.9,17484.4,8395.6,7596.7,39067.3
2019年第三季度,252208.7,19798.0,97790.4,134620.4,20629.0,79501.8,66823.8,18734.6,23993.6,11310.2,4610.5,19388.3,17369.0,7528.1,8409.1,40734.5
2019年第四季度,278019.7,27461.6,109252.8,141305.2,28579.9,86721.6,73952.4,23072.4,26795.9,11244.0,5071.2,18973.8,18798.9,8341.3,9262.5,41158.2
2020年第一季度,206504.3,10186.2,73638.0,122680.1,10708.4,64642.0,53852.0,9377.8,18749.6,7865.1,2820.9,21346.8,15268.3,8928.0,7137.9,39659.6
2020年第二季度,250110.1,15866.8,99120.9,135122.3,16596.4,80402.4,69258.8,19156.8,23696.1,10650.0,3481.3,20954.7,18593.6,9573.0,7174.4,39831.4
