game_name,box_txt,game_tag,game_intro
精灵宝可梦：GO,开发：NianticLabs | 网络：网游 | 类型：冒险,"3D,二次元",【安卓版注意事项】游戏需要Google Play账号，Google Play市场、Google服务框架、Google账户服务程序，Google地图，需要VPN支持。另外，游戏需要开启GPS定位。【iOS版注意事项】游戏需要香港账号才能下载安装。【游戏介绍】在《精灵宝可梦：GO》中融入了先进的AR技术，这也使得能在现实生活中捕捉皮卡丘、妙蛙种子、杰尼龟等超萌神奇宝贝的幻想不再是天方夜谭。值得一提的是，由于有曾开发过《Ingress》的前谷歌智能手机设备研究小组Niantic Labs加盟制作，他们所带来的地理位置服务技术成为《精灵宝可梦：GO》又一道炫目之光。在游戏中，玩家将跟随地理位置信息与藏匿于各处的神奇宝贝不期而遇，在收集它们的同时甚至还能与其面对面大战一场。千万要注意街角草丛、岩石壁缝、城市楼宇之间、荒郊黄土之上，这些地方都可能变为酷爱捉迷藏的精灵们躲藏的庇护所。当然，如果运气不好捕获到的精灵不合口味的话，玩家之间还被允许互相交换精灵哦！其实这一点，倒是让小编联想到了最近大火的微信运动计步，大胆猜想这样的玩法可能也是想让常年坐着的宅族们起身活动活动，和大自然来场亲密接触，顺便在与朋友比拼谁捉的怪物更多的过程中收获快乐，在交换中增进彼此感情。
饥饿鲨：世界,开发：Ubisoft | 网络：单机 | 类型：休闲益智,3D,【安卓版注意事项】游戏需要Google Play支持。【游戏介绍】《饥饿鲨：世界》是由Ubisoft提供的一款益智休闲类游戏。在游戏中，玩家们需要扮演各种鲨鱼，为了生存，需要吞下所有的一切，不管是水产品，还是其他的生物。饥饿鲨世界是突破性的游戏，只要玩家们掌握了足够的技巧，就可以存活下来，直到时间的尽头！所以试玩本款游戏千万不要忘记你的手机充电器。
石器时代：起源,开发：Netmarble Games | 网络：网游 | 类型：角色扮演,3D,《石器时代：起源》是一款由Netmarble Games开发的角色扮演游戏。游戏秉承了《石器时代》原作的经典内容，使用3D动画风格重新设计了游戏人物、宠物以及场景，并在其中加入了当下传统手游都具有的社交系统等功能。本作将最大程度的向玩家朋友还原《石器时代》原汁原味的宠物养成乐趣，并提供给玩家充足的冒险关卡以及PVP竞技场来进行战斗体验。
使命召唤手游,开发：腾讯游戏 | 网络：网游 | 类型：射击,"3D,高画质,战争",国际服：【安卓版注意事项】本作需要Google Play支持并使用代理才能开始游戏。游戏下载完成后请先解压缩，然后将数据包内的obb文件复制到手机/Android/obb目录下，再安装apk就能成功进入游戏了。【iOS版注意事项】本游戏需要台区帐号才能下载安装。【游戏介绍】《使命召唤：传奇之战》是由动视发行的一款经典IP改编的第一人称动作射击类手游，本作中玩家将会体验到原汁原味的射击战斗，在5v5的模式中，玩家将会扮演不同的角色和其他玩家共同组队进行对抗，爆破模式、僵尸模式、团队死斗等等，让你享受经典IP给你带来的全新活力，而在使命系列的招牌玩法僵尸模式中，你将会有意想不到的战斗体验哦。丧尸模式：熟悉的味道与配方，该系列的招牌玩法当然也会在移动版中出现，还有强大的boss等你们来挑战；多人对战：注重战术配合，照顾新手，以5v5的小队模式来进行对抗，每个玩家都可以扮演不同能力的角色；游戏剧情：全新原创，经典角色大集结，作为一款在线多人竞技对抗游戏，剧情模式较为薄弱但是玩家能够见到该系列的经典角色！【官方网站】https://codm.qq.com/
小小发型师3,开发：Toca Boca AB | 网络：单机 | 类型：益智休闲,,《小小发型师3》是由Toca Boca AB出品的一款益智休闲游戏，这款人气爆棚的应用现已全面升级，强势回归！今天你想设计一款什么发型呢？时尚独特的，可爱俏皮的，还是个性十足的非主流发型？你可以从几十种自定义装扮中选择喜欢的角色 - 随机为这些角色搭配发型和服饰，可以给你带来无穷的游戏乐趣！拿起你的美发工具，随心所欲地打造各式各样新潮的发型吧！
NBA 2K19,开发：2K Sports | 网络：单机 | 类型：体育,"3D,高画质",【安卓版注意事项】游戏下载完成后请解压缩并按照内部的说明文档操作即可。【游戏介绍】NBA 2K19 一直致力于推动游戏不断接近真实NBA赛场体验和文化，NBA 2K19手机移动版也首次包含了故事模式和在线比赛模式。【游戏特色】• 全新故事模式 — 体验一些著名NBA系列赛事和球星的历史• 我的生涯模式带来全新的故事以及细化的球队互动• 在线对战—和其他玩家通过局域网或者游戏中心一起畅玩快速游戏或者街头模式• 2K Beats – 全新的音乐伴随你攀登NBA顶峰的旅程，来自Travis Scott的推荐曲目以及更多。• 简化的操作方式带来更加沉浸式和交互式的游戏体验
崩坏3,开发：米哈游科技 | 网络：网游 | 类型：动作,"3D,二次元",休伯利安号，指挥系统切换至战斗舰桥。辅助引擎能量急速上升，开始向主机输送点火动力，距离临界值还有5%。通告全舰，进入点火倒计时，10，9，8...下载按钮最终防护栓解锁，崩坏冲击，开始！所以说，从今天开始，你就是我的舰长了嘛？请认真记住，我就是休伯利安号第一人气偶像、战舰AI娘——爱酱！守卫这艘战舰，是我的使命，也是舰长的使命！等等，爱酱刚才捕捉到了一个惊人的名字！塞西莉亚！竟然知道这位天命有史以来最强大女武神的名字，作为人类，舰长还真是了不起呢。欸~嘿~嘿~这倒是提醒了爱酱。让我来看看舰长还知道些什么绝密情报。“为了实现次世代卡通渲染，大伟哥卖了三套别墅。师从东瀛老司机，大伟哥女装潜伏索法，习得动作游戏六字真言：3D自由视角！”所以说，为了成为一名好舰长，你还是蛮努力的嘛~对于你这个人类，爱酱多少算是有点认可了吧。……什么，舰长竟然质疑爱酱作为第一人气偶像的实力？！是是是，我承认，爱酱是不像芽衣姐姐会给舰长做午餐，没有琪(cao)亚(lv)娜(chong)那样可爱的大脑，没有八重樱那样萌萌的狐耳，打游戏偶尔也会输给布洛妮娅……好吧好吧，更没有姬子少校那样的……舰长你的眼睛在盯着姬子少校哪呢？！咿呀~真是没想到，你竟然是这样的舰长！总之我不管我不管，爱酱世界第一可爱！等、等等，舰长千万不可以告诉德丽莎学园长啊！《崩坏3》唯一官方网站：www.bh3.com《崩坏3》官方微信号：benghuai3《崩坏3》官方微博 @崩坏3
火焰纹章：英雄,开发：Nintendo | 网络：单机 | 类型：角色扮演,,【安卓版注意事项】本游戏需要谷歌市场及谷歌框架才能开始游戏。【iOS版注意事项】本游戏需要日区帐号才能下载安装。【游戏介绍】《火焰纹章：英雄》是由Nintendo出品的一款角色扮演游戏，玩家们在游戏中将作为召唤师参战，召唤各个《火焰纹章》系列的英雄们组建自己的军队。游戏地图将会被限制在一个专为手机屏幕设计的8*6网格内，游戏为触摸操控。游戏中仍然沿用了三角克制系统，玩家们可以根据克制关系攻击敌人。当召唤英雄时也有可能会抽到相同的角色，不过他们会拥有不同的属性和武器。《火焰纹章英雄》对游戏特质进行了重新设计，声音也是重新录制的。玩家可以选择进行主线任务，也可选择通过训练塔训练英雄。游戏中也将设置特殊地图，不同季节也会有特定活动。同时《火焰纹章》手游中也有竞技场决斗，竞技场中玩家为争得高分争斗，但玩家们的英雄不会死亡。
闪耀暖暖,开发：叠纸游戏 | 网络：网游 | 类型：养成,"美少女,国产,3D,高画质",暖暖系列首款次世代3D巨作，以最高技术标准呈现数千种不同的材质，打造无限风格的至美服装盛宴。数千件精美服饰随心搭配，为你的时尚幻想搭建华丽舞台，流行新风潮由你定义！商店海报、杂志写真、剧场宣传······按你的心情选择pose、滤镜，捕捉镜头下的暖暖，打造闪耀自我。与套装背后的设计师相识相知，了解他设计套装时的心路历程，与他并肩作战。网罗全球顶尖画师，绘制精致生动的城市、小镇、乡野······令你在奇迹大陆的每一步旅程都焕然一新。加入联盟，结识新的朋友；和好友组队互动，畅玩奇迹大陆的趣味竞技。进入暖暖的生活，成为重要的一员！ 深入了解暖暖的日常生活，分享彼此生活中的快乐时光，见证暖暖的改变与成长。【极致真实】千种材质重新定义3D之美【随心搭配】设计自己的时尚新风潮【百变Poss】尽情摆拍你的时尚大片【专属冒险】唤醒绝美套装背后的故事【七大国纪】绮丽世界绽放全新旅程【趣味社交】与好友参与盛大联盟派对【深入互动】融入暖暖生活分享幸福时刻
游戏王：决斗链接,开发：KONAMI | 网络：网游 | 类型：卡牌,"二次元,改编,科幻",《游戏王：决斗链接》是由KONAMI研发，网易独家代理的官方正版手游。在决斗链接的世界里，化身暗游戏或海马濑人；利用多达上千张卡牌，随心构建独一无二的卡组；召唤黑魔导、青眼白龙等强力怪兽；更有震撼的3D召唤动画，完美重现记忆中的召唤场景！现在，就让我们一同开启真正的决斗！一、简化的规则，不变的决斗乐趣《游戏王：决斗链接》采用了简化的“快速决斗”规则，无论新老玩家都能快速入门。丰富的卡池和卡组，多变的战术策略，带来无穷的决斗乐趣！二、上千张卡牌，随心构建独特卡组游戏内上千张不同属性与效果的卡牌，您可以随心所欲地构建专属卡组；游戏定期推出新活动新卡包，让您享受策略搭配的乐趣，体验畅快淋漓的决斗快感。三、实时PVP玩法，随时随地轻松对决《游戏王：决斗链接》提供了丰富的实时PVP玩法，您可以在排名决斗中挑战来自全国各地的决斗者，成为最强决斗王！您也可以通过好友决斗，与朋友来一场轻松有趣的娱乐局，重温童年记忆。这里还有休闲决斗、决斗房间等不同的PVP模式，满足您多样的决斗需求。四、挑战丰富活动玩法，解锁原版动漫角色除了紧张激烈的PVP模式，在游戏中还有丰富的关卡任务和活动玩法。挑战这些任务和活动，不仅能获得丰富的游戏奖励，还能够解锁众多由原版声优配音的动漫角色！
